id,date,nickname,persona,business,category,title,content
11,2025-08-08,user_003,충성(로열형),치과,일단후기,,"(2025년 8월, 치과) 이번 달 실행과 데이터를 공유합니다. 진료 기본을 지키되 사후관리를 강화합니다. 리콜 재설계 후 노쇼 18% 감소. 접수-진료-결제-리콜을 하나의 이야기로 설계하세요. 작은 불편이 전체 인상에 작용합니다. 접수-진료-결제-리콜을 하나의 이야기로 설계하세요. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
12,2025-08-18,user_003,충성(로열형),치과,일단후기,,"(2025년 8월, 치과) 이번 달 실행과 데이터를 공유합니다. 대기시간 5분 단위 측정으로 병목 제거. 접수-진료-결제-리콜을 하나의 이야기로 설계하세요. 스탭 교육에서 공감 브리핑 훈련 중입니다. 대기시간 5분 단위 측정으로 병목 제거. 의료 신뢰는 ‘기록’과 ‘설명’에서 시작합니다. 접수-진료-결제-리콜을 하나의 이야기로 설계하세요. 스탭 교육에서 공감 브리핑 훈련 중입니다. 접수-진료-결제-리콜을 하나의 이야기로 설계하세요. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
13,2025-08-08,user_003,충성(로열형),치과,일단후기,,"(2025년 8월, 치과) 이번 달 실행과 데이터를 공유합니다. 의료 신뢰는 ‘기록’과 ‘설명’에서 시작합니다. 대기시간 5분 단위 측정으로 병목 제거. 의료 신뢰는 ‘기록’과 ‘설명’에서 시작합니다. 리콜 재설계 후 노쇼 18% 감소. 진료 기본을 지키되 사후관리를 강화합니다. 접수-진료-결제-리콜을 하나의 이야기로 설계하세요. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
14,2025-08-06,user_003,충성(로열형),치과,일단컬럼,,"(2025년 8월, 치과) 이번 달 실행과 데이터를 공유합니다. 작은 불편이 전체 인상에 작용합니다. 접수-진료-결제-리콜을 하나의 이야기로 설계하세요. 대기시간 5분 단위 측정으로 병목 제거. 대기시간 5분 단위 측정으로 병목 제거. 대기시간 5분 단위 측정으로 병목 제거. 스탭 교육에서 공감 브리핑 훈련 중입니다. 리콜 재설계 후 노쇼 18% 감소. 의료 신뢰는 ‘기록’과 ‘설명’에서 시작합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
15,2025-08-24,user_003,충성(로열형),치과,일단트레이닝,,"(2025년 8월, 치과) 이번 달 실행과 데이터를 공유합니다. 스탭 교육에서 공감 브리핑 훈련 중입니다. 의료 신뢰는 ‘기록’과 ‘설명’에서 시작합니다. 진료 기본을 지키되 사후관리를 강화합니다. 접수-진료-결제-리콜을 하나의 이야기로 설계하세요. 의료 신뢰는 ‘기록’과 ‘설명’에서 시작합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
16,2025-08-31,user_004,비활성(직장형),네일샵,일단후기,,"(2025년 8월, 네일샵) 이번 달 실행과 데이터를 공유합니다. 지인 위주 한계를 절감했습니다. 지인 위주 한계를 절감했습니다. 다음 방문 이유 문구가 더 중요합니다. 지인 위주 한계를 절감했습니다. 고객 피드백을 받아 적고 있습니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
17,2025-08-05,user_004,비활성(직장형),네일샵,일단트레이닝,,"(2025년 8월, 네일샵) 이번 달 실행과 데이터를 공유합니다. 처음이라 서툴지만 기본을 지키려 합니다. 홈살롱과 팝업 중 어디로 먼저 갈까요? 홈살롱과 팝업 중 어디로 먼저 갈까요? 8월 예약 11건, 재방문 의사 6건. 다음 방문 이유 문구가 더 중요합니다. 지인 위주 한계를 절감했습니다. 고객 피드백을 받아 적고 있습니다. 지인 위주 한계를 절감했습니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
18,2025-08-20,user_004,비활성(직장형),네일샵,일단인사,,"(2025년 8월, 네일샵) 이번 달 실행과 데이터를 공유합니다. 다음 방문 이유 문구가 더 중요합니다. 다음 방문 이유 문구가 더 중요합니다. 처음이라 서툴지만 기본을 지키려 합니다. 사진의 질과 위생 감도가 핵심임을 느꼈습니다. 처음이라 서툴지만 기본을 지키려 합니다. 사진의 질과 위생 감도가 핵심임을 느꼈습니다. 지인 위주 한계를 절감했습니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
19,2025-08-17,user_004,비활성(직장형),네일샵,일단컬럼,,"(2025년 8월, 네일샵) 이번 달 실행과 데이터를 공유합니다. 다음 방문 이유 문구가 더 중요합니다. 인스타 DM과 네이버 예약 중 어떤 게 나을까요? 사진의 질과 위생 감도가 핵심임을 느꼈습니다. 홈살롱과 팝업 중 어디로 먼저 갈까요? 지인 위주 한계를 절감했습니다. 인스타 DM과 네이버 예약 중 어떤 게 나을까요? 지인 위주 한계를 절감했습니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
20,2025-08-18,user_004,비활성(직장형),네일샵,일단인사,,"(2025년 8월, 네일샵) 이번 달 실행과 데이터를 공유합니다. 홈살롱과 팝업 중 어디로 먼저 갈까요? 전환율 14%→22% 개선. 사진의 질과 위생 감도가 핵심임을 느꼈습니다. 처음이라 서툴지만 기본을 지키려 합니다. 처음이라 서툴지만 기본을 지키려 합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
21,2025-08-22,user_005,비활성(실패형),감자탕집,일단후기,,"(2025년 8월, 감자탕집) 이번 달 실행과 데이터를 공유합니다. 원가율 2.1%p 개선. 객단가·재방문·리뷰 품질 3축이 중요합니다. 객단가·재방문·리뷰 품질 3축이 중요합니다. ‘따뜻한 한 끼’ 진정성이 리뷰로 돌아옵니다. ‘따뜻한 한 끼’ 진정성이 리뷰로 돌아옵니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
22,2025-08-06,user_005,비활성(실패형),감자탕집,일단트레이닝,,"(2025년 8월, 감자탕집) 이번 달 실행과 데이터를 공유합니다. ‘따뜻한 한 끼’ 진정성이 리뷰로 돌아옵니다. 한 그릇 퀄리티 지키기가 어렵습니다. 저녁 회전율 1.3배, 테이크아웃 12%→19%. ‘따뜻한 한 끼’ 진정성이 리뷰로 돌아옵니다. 홀/배달 동시 운영 기준을 새로 세우고 있습니다. 한 그릇 퀄리티 지키기가 어렵습니다. 한 그릇 퀄리티 지키기가 어렵습니다. 원가율 2.1%p 개선. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다. 실행과 피드백을 기록합니다."
